image,xmin,ymin,xmax,ymax,class_label
img_0.jpg,184.0,193.0,196.0,215.0,without_mask
img_1.jpg,17.0,197.0,28.0,223.0,without_mask
img_2.jpg,289.0,110.0,303.0,135.0,with_mask
img_3.jpg,260.0,380.0,272.0,404.0,without_mask
img_4.jpg,26.4650944501377,83.50994031922113,61.84755190357868,140.25497633076498,without_mask
img_5.jpg,134.0,103.0,158.0,145.0,with_mask
img_6.jpg,132.0,242.0,257.0,354.0,without_mask
img_7.jpg,94.0,358.0,136.0,387.0,with_mask
img_8.jpg,99.0,65.0,121.0,108.0,with_mask
img_9.jpg,347.0,34.0,352.0,43.0,without_mask
img_10.jpg,357.0,146.0,416.0,253.0,with_mask
img_11.jpg,72.0,147.0,84.0,165.0,with_mask
img_12.jpg,112.0,179.0,136.0,214.0,without_mask
img_13.jpg,273.0,141.0,290.0,169.0,without_mask
img_14.jpg,120.0000114440918,114.00000095367432,185.0000114440918,224.0000114440918,mask_weared_incorrect
img_15.jpg,138.0,55.0,160.0,86.0,with_mask
img_16.jpg,183.0,155.0,188.0,164.0,mask_weared_incorrect
img_17.jpg,9.0,61.0,19.0,88.0,with_mask
img_18.jpg,278.0,203.0,290.0,234.0,with_mask
img_19.jpg,137.0,98.0,277.0,192.0,with_mask
img_20.jpg,24.0,44.0,48.0,96.0,with_mask
img_21.jpg,50.16490244048301,161.22257244636143,109.98218551741266,268.4514790693136,mask_weared_incorrect
img_22.jpg,31.0,96.0,76.0,173.0,with_mask
img_23.jpg,385.0,168.0,416.0,224.0,without_mask
img_24.jpg,27.0,105.0,47.0,149.0,without_mask
img_25.jpg,256.0061927477534,50.28106985727806,269.00533227708127,74.5967776655279,mask_weared_incorrect
img_26.jpg,354.0,106.0,376.0,142.0,without_mask
img_27.jpg,35.20286871331752,49.19275122926115,63.58645360533498,88.14375238116742,mask_weared_incorrect
img_28.jpg,192.0,36.0,208.0,68.0,without_mask
img_29.jpg,65.49221900846507,249.27872523101686,91.52828882105274,289.6252633391946,mask_weared_incorrect
img_30.jpg,177.0,69.0,202.0,122.0,with_mask
img_31.jpg,167.0,13.0,186.0,42.0,without_mask
img_32.jpg,122.20369823150011,71.26925147304777,143.44615827742717,104.09706585740206,mask_weared_incorrect
img_33.jpg,298.0,199.0,340.0,248.0,mask_weared_incorrect
img_34.jpg,66.0,221.0,94.0,279.0,without_mask
img_35.jpg,255.0,44.0,282.0,86.0,with_mask
img_36.jpg,96.40384616652426,110.5244090840377,261.34475166144256,206.69314588458062,mask_weared_incorrect
img_37.jpg,74.0,81.0,95.0,115.0,with_mask
img_38.jpg,279.0,196.0,302.0,228.0,with_mask
img_39.jpg,38.0,66.0,57.0,99.0,with_mask
img_40.jpg,380.0,17.0,391.0,37.0,without_mask
img_41.jpg,21.0,62.0,68.0,136.0,mask_weared_incorrect
img_42.jpg,44.92812271901394,245.1176723511211,67.9796273707783,298.7696999955727,mask_weared_incorrect
img_43.jpg,363.4455695451072,244.72793558939043,390.7136586621634,283.3074573462958,mask_weared_incorrect
img_44.jpg,185.0,99.0,192.0,112.0,without_mask
img_45.jpg,165.0,153.0,225.0,279.0,without_mask
img_46.jpg,122.0,44.0,128.0,56.0,with_mask
img_47.jpg,296.0,110.0,323.0,162.0,with_mask
img_48.jpg,197.00000762939453,54.000001430511475,289.0000114440918,118.99999523162842,mask_weared_incorrect
img_49.jpg,140.00000095367432,86.99999713897705,215.00000190734863,135.99999809265137,mask_weared_incorrect
img_50.jpg,222.0,238.0,235.0,257.0,with_mask
img_51.jpg,55.0,271.0,70.0,298.0,without_mask
img_52.jpg,286.0,142.0,376.0,301.0,with_mask
img_53.jpg,190.0,156.0,280.0,287.0,with_mask
img_54.jpg,265.0,219.0,289.0,266.0,with_mask
img_55.jpg,266.0,83.0,294.0,127.0,without_mask
img_56.jpg,174.0,245.0,204.0,305.0,with_mask
img_57.jpg,303.0,101.0,327.0,147.0,with_mask
img_58.jpg,127.0,14.0,134.0,29.0,with_mask
img_59.jpg,61.0,99.0,79.0,134.0,with_mask
img_60.jpg,254.0,231.0,265.0,247.0,with_mask
img_61.jpg,113.0,168.0,144.0,231.0,mask_weared_incorrect
img_62.jpg,105.6365825003004,134.69460684515653,119.13762864139065,157.9269811430028,mask_weared_incorrect
img_63.jpg,317.0,85.0,334.0,120.0,without_mask
img_64.jpg,44.0,34.0,54.0,54.0,with_mask
img_65.jpg,79.0,151.0,98.0,170.0,without_mask
img_66.jpg,23.0,68.0,38.0,99.0,mask_weared_incorrect
img_67.jpg,370.0,126.0,383.0,157.0,without_mask
img_68.jpg,105.0,211.0,250.0,343.0,with_mask
img_69.jpg,298.0,245.0,307.0,262.0,without_mask
img_70.jpg,1.0,137.0,8.0,168.0,without_mask
img_71.jpg,265.0,227.0,301.0,286.0,with_mask
img_72.jpg,183.0,156.0,190.0,165.0,with_mask
img_73.jpg,79.37986873387754,161.5565468452592,119.54525421890179,252.5738710170004,without_mask
img_74.jpg,320.0,252.0,341.0,269.0,with_mask
img_75.jpg,196.0,83.0,237.0,138.0,with_mask
img_76.jpg,23.0,73.0,45.0,112.0,with_mask
img_77.jpg,83.0,125.0,101.0,160.0,with_mask
img_78.jpg,120.0,210.0,140.0,239.0,with_mask
img_79.jpg,121.0,387.0,152.0,416.0,without_mask
img_80.jpg,164.0,143.0,189.0,179.0,with_mask
img_81.jpg,277.0,24.0,298.0,56.0,without_mask
img_82.jpg,194.0,95.0,228.0,158.0,with_mask
img_83.jpg,58.0,96.0,68.0,115.0,with_mask
img_84.jpg,368.0,122.0,416.0,199.0,without_mask
img_85.jpg,149.72762366632608,59.678679906415574,181.89715516734145,104.15958407323055,mask_weared_incorrect
img_86.jpg,172.0000114440918,41.000001430511475,235.00000381469727,80.00000143051147,mask_weared_incorrect
img_87.jpg,252.0,75.0,270.0,109.0,without_mask
img_88.jpg,107.0,115.0,115.0,127.0,without_mask
img_89.jpg,92.0,142.0,104.0,158.0,with_mask
img_90.jpg,384.0,34.0,409.0,68.0,with_mask
img_91.jpg,146.0,59.0,260.0,136.0,with_mask
img_92.jpg,191.0,126.0,209.0,159.0,with_mask
img_93.jpg,393.0,224.0,414.0,262.0,with_mask
img_94.jpg,290.0,127.0,312.0,168.0,with_mask
img_95.jpg,258.99478128542466,81.86053265466666,270.99275953840436,101.35424604186126,without_mask
img_96.jpg,99.0,236.0,124.0,290.0,without_mask
img_97.jpg,70.0,108.0,128.0,179.0,without_mask
img_98.jpg,112.0,73.0,139.0,100.0,with_mask
img_99.jpg,163.0,108.0,186.0,149.0,without_mask
img_100.jpg,275.0,38.0,298.0,79.0,with_mask
img_101.jpg,32.998814821243286,52.69255781173706,50.59483098983765,84.86172342300415,mask_weared_incorrect
img_102.jpg,336.13168144226074,53.665807247161865,360.42108726501465,98.0556492805481,mask_weared_incorrect
img_103.jpg,171.0,19.0,177.0,29.0,with_mask
img_104.jpg,27.0,90.0,41.0,115.0,with_mask
img_105.jpg,169.0,52.0,267.0,118.0,mask_weared_incorrect
img_106.jpg,379.83576488421943,98.03959812258937,403.9859483489703,138.67472374739285,mask_weared_incorrect
img_107.jpg,380.0,107.0,401.0,147.0,with_mask
img_108.jpg,347.0,19.0,366.0,49.0,with_mask
img_109.jpg,273.0,131.0,289.0,159.0,with_mask
img_110.jpg,354.0,256.0,369.0,292.0,with_mask
img_111.jpg,238.0,125.0,265.0,166.0,without_mask
img_112.jpg,347.0,141.0,381.0,192.0,without_mask
img_113.jpg,251.0,48.0,309.0,171.0,with_mask
img_114.jpg,213.0,114.0,225.0,147.0,with_mask
img_115.jpg,199.41882233439335,157.83495103011003,213.172943871892,182.23491875250332,without_mask
img_116.jpg,76.0,99.0,86.0,116.0,with_mask
img_117.jpg,123.0,137.0,154.0,196.0,with_mask
img_118.jpg,379.0,76.0,395.0,101.0,with_mask
img_119.jpg,205.0,24.0,226.0,59.0,with_mask
img_120.jpg,42.0,81.0,87.0,110.0,without_mask
img_121.jpg,153.92524274834622,61.449010467542536,171.20096117576023,93.98247727702949,without_mask
img_122.jpg,6.0,216.0,48.0,275.0,without_mask
img_123.jpg,367.96134864375756,119.8191256676171,396.57030477259525,160.80814319768115,mask_weared_incorrect
img_124.jpg,191.0,123.0,205.0,173.0,without_mask
img_125.jpg,384.0,66.0,413.0,119.0,with_mask
img_126.jpg,350.0,61.0,364.0,91.0,without_mask
img_127.jpg,277.9999942779541,20.999999523162842,394.9999942779541,183.00000381469727,without_mask
img_128.jpg,138.0,130.0,153.0,163.0,with_mask
img_129.jpg,201.5267277010645,113.33420945731694,282.19072429317714,226.65224256201662,mask_weared_incorrect
img_130.jpg,22.29899144875917,93.23865513286974,44.91351660846111,126.80398782002874,mask_weared_incorrect
img_131.jpg,235.0,72.0,272.0,116.0,with_mask
img_132.jpg,10.999992370605469,103.00000238418579,34.0000057220459,164.0000057220459,without_mask
img_133.jpg,392.0,51.0,416.0,101.0,with_mask
img_134.jpg,194.4677016808569,104.28131346974581,269.55487607762336,156.2584374537002,mask_weared_incorrect
img_135.jpg,183.0,219.0,204.0,258.0,with_mask
img_136.jpg,12.0,97.0,41.0,151.0,with_mask
img_137.jpg,256.0,146.0,274.0,163.0,with_mask
img_138.jpg,210.0,231.0,227.0,287.0,with_mask
img_139.jpg,213.0,90.0,229.0,125.0,with_mask
img_140.jpg,151.41590084604886,147.42184942847254,231.61379583581598,324.03066884169897,mask_weared_incorrect
img_141.jpg,21.0,92.0,67.0,140.0,without_mask
img_142.jpg,310.0,154.0,327.0,216.0,with_mask
img_143.jpg,92.0,204.0,221.0,330.0,with_mask
img_144.jpg,316.0,73.0,352.0,130.0,with_mask
img_145.jpg,163.0,83.0,179.0,116.0,with_mask
img_146.jpg,215.29264070915363,59.594611451777475,245.51532716611504,106.92306215264115,mask_weared_incorrect
img_147.jpg,286.0,154.0,315.0,199.0,with_mask
img_148.jpg,292.0,113.0,306.0,144.0,with_mask
img_149.jpg,224.0,152.0,250.0,203.0,with_mask
img_150.jpg,252.0,190.0,266.0,219.0,with_mask
img_151.jpg,199.0,92.0,229.0,153.0,with_mask
img_152.jpg,293.20668844844965,140.2160712045117,310.284042769646,160.8525679565458,mask_weared_incorrect
img_153.jpg,134.0,68.0,153.0,101.0,with_mask
img_154.jpg,119.0,73.0,163.0,135.0,with_mask
img_155.jpg,282.0,54.0,305.0,91.0,with_mask
img_156.jpg,128.0,199.0,145.0,221.0,with_mask
img_157.jpg,104.0,134.0,112.0,151.0,with_mask
img_158.jpg,48.0,190.0,61.0,206.0,with_mask
img_159.jpg,196.0,291.0,310.0,402.0,with_mask
img_160.jpg,14.0,98.0,63.0,178.0,with_mask
img_161.jpg,248.0,171.0,266.0,190.0,with_mask
img_162.jpg,136.0,123.0,163.0,179.0,without_mask
img_163.jpg,65.0,156.0,91.0,200.0,without_mask
img_164.jpg,62.0,204.0,75.0,227.0,with_mask
img_165.jpg,98.0,97.0,131.0,168.0,with_mask
img_166.jpg,157.0,71.0,182.0,105.0,with_mask
img_167.jpg,21.0,84.0,93.0,185.0,with_mask
img_168.jpg,158.0,210.0,301.0,354.0,without_mask
img_169.jpg,348.1390914916992,218.8639144897461,392.3621463775635,262.25951766967773,mask_weared_incorrect
